0, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;
1, 8 8 1 1 0 0 0 0 0 0 0 0 0 0 0 0;
2, 7 8 2 1 0 0 0 0 0 0 0 0 0 0 0 0;
3, 7 8 2 2 0 0 0 0 0 0 0 0 0 0 0 0;
4, 7 7 2 3 0 0 0 0 0 0 0 0 0 0 0 0;
5, 7 7 3 3 0 0 0 0 0 0 0 0 0 0 0 0;
6, 6 7 4 3 0 0 0 0 0 0 0 0 0 0 0 0;
7, 5 7 5 3 0 0 0 0 0 0 0 0 0 0 0 0;
8, 5 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0;
9, 3 6 7 4 0 0 0 0 0 0 0 0 0 0 0 0;
10, 1 6 9 4 0 0 0 0 0 0 0 0 0 0 0 0;
11, 4 6 6 4 1 6 3 4 0 0 0 0 0 0 0 0;
12, 7 6 3 4 1 6 3 4 4 6 3 4 0 0 0 0;
13, 7 6 3 4 1 6 3 4 4 8 3 2 4 6 3 2;
